sample group median
SAM214 RHA 4.153955
SAM072 RHA 4.12807
SAM269 HA 4.11644
SAM154 RHA 4.105185
SAM119 RHA 4.09647
SAM278 RHA 4.02133
SAM266 RHA 3.91219
SAM244 HA 3.908665
SAM131 HA 3.90736
SAM025 RHA 3.86367
SAM140 HA 3.841145
SAM130 HA 3.83088
SAM217 RHA 3.79531
SAM216 HA 3.76084
SAM177 HA 3.69779
SAM156 HA 3.67123
SAM052 HA 3.6192
SAM142 RHA 3.49275
SAM253 HA 3.47015
SAM024 RHA 3.451915
SAM116 HA 3.411395
SAM162 RHA 3.407295
SAM040 HA 3.373085
SAM180 RHA 3.357065
SAM055 RHA 3.334855
SAM016 HA 3.328685
SAM108 RHA 3.313305
SAM222 HA 3.303975
SAM157 HA 3.303535
SAM268 HA 3.23795
SAM041 RHA 3.2311550000000002
SAM155 HA 3.22177
SAM254 HA 3.21683
SAM263 HA 3.216545
SAM006 HA 3.21086
SAM061 RHA 3.19233
SAM112 HA 3.18231
SAM189 HA 3.177405
SAM204 RHA 3.17615
SAM144 HA 3.17388
SAM220 HA 3.15617
SAM168 RHA 3.12493
SAM122 RHA 3.117655
SAM009 RHA 3.11522333333333
SAM198 RHA 3.114485
SAM178 HA 3.113035
SAM273 HA 3.10355
SAM258 HA 3.10191
SAM001 HA 3.09968
SAM270 HA 3.0995
SAM186 RHA 3.09795
SAM028 HA 3.089145
SAM158 HA 3.080305
SAM029 HA 3.070565
SAM205 HA 3.07019
SAM277 OPV 3.05704
SAM252 HA 3.05619
SAM228 HA 2.999725
SAM248 RHA 2.996025
SAM284 HA 2.9909
SAM241 HA 2.972225
SAM051 OPV 2.950625
SAM206 HA 2.94488
SAM059 HA 2.939345
SAM199 RHA 2.92994
SAM265 OPV 2.87063
SAM243 RHA 2.864325
SAM047 HA 2.8613
SAM077 HA 2.843755
SAM037 HA 2.840185
SAM224 HA 2.793375
SAM018 HA 2.769965
SAM004 HA 2.7691
SAM145 HA 2.75593
SAM031 RHA 2.751935
SAM137 RHA 2.737015
SAM110 HA 2.73117
SAM048 OPV 2.725665
SAM115 RHA 2.695595
SAM208 RHA 2.666445
SAM192 RHA 2.653905
SAM080 HA 2.62802
SAM143 RHA 2.62789
SAM161 RHA 2.61171666666667
SAM030 RHA 2.611645
SAM286 HA 2.60334
SAM190 RHA 2.59662
SAM193 HA 2.56964333333333
SAM149 HA 2.56387
SAM196 HA 2.53971
SAM090 HA 2.50918333333333
SAM098 RHA 2.50278
SAM114 RHA 2.498965
SAM250 RHA 2.488115
SAM014 RHA 2.47393666666667
SAM239 RHA 2.453525
SAM146 RHA 2.44765666666667
SAM121 RHA 2.39688
SAM230 RHA 2.38137333333333
SAM129 HA 2.32326333333333
SAM152 HA 2.300385
SAM081 RHA 2.29034333333333
SAM076 HA 2.19052
SAM148 RHA 2.170995
SAM151 HA 2.15417333333333
SAM213 HA 2.08253
SAM100 RHA 2.05979
SAM135 HA 2.01889333333333
SAM174 HA 2.005685
SAM015 RHA 1.991215
SAM103 RHA 1.86568666666667
SAM160 HA 1.602
